rebarYieldCurvature	coreOneThirdCrushCurvature	coreTwoThirdCrushCurvature	ultimateCurvature
0.0037512	0.04043	0.080859	0.11962
0.0011331	0.0049101	0.011331	0.016619
0.0020025	0.00712	0.016242	0.02403
0.001289	0.0047693	0.011601	0.017917
0.0016839	0.0043033	0.0099163	0.01422
0.002412	0.008308	0.017956	0.026532
0.0018261	0.0062899	0.015218	0.023739
0.0021771	0.0079827	0.018384	0.027818
0.0036198	0.016892	0.035394	0.052688
0.0012913	0.0042654	0.010487	0.014713
0.001747	0.0055904	0.013452	0.020615
0.0025664	0.014436	0.028872	0.042025
0.002031	0.006093	0.014217	0.020107
0.003141	0.014309	0.028967	0.042229
0.0024723	0.0063181	0.014834	0.021701
0.0043209	0.015843	0.034087	0.04897
0.000817	0.0035948	0.0085785	0.011438
0.0011868	0.0034005	0.0084214	0.011183
0.0020304	0.010152	0.021065	0.029948
0.001064	0.004256	0.010868	0.015732
0.003608	0.024354	0.050512	0.073964
0.0036045	0.017622	0.037647	0.055669
0.0022347	0.0076973	0.016636	0.024085
0.0033993	0.020774	0.042302	0.061943
0.0010848	0.003616	0.009492	0.014826
0.002142	0.0068544	0.017564	0.026561
0.0012267	0.0053157	0.012403	0.018401
0.0030681	0.021136	0.04159	0.06068
0.001572	0.0059736	0.014305	0.020593
0.00243	0.01053	0.02349	0.03402
0.0034002	0.017757	0.037024	0.054781
0.0017793	0.0057333	0.013839	0.020956
0.0018848	0.012016	0.025209	0.036754
0.0018792	0.0089784	0.020045	0.029858
0.002571	0.011827	0.024939	0.036765
0.0036416	0.02185	0.04461	0.064638
0.0017145	0.005715	0.013907	0.021146
0.0020898	0.0078948	0.018344	0.028096
0.0022266	0.010638	0.023503	0.035626
0.0041868	0.020469	0.041403	0.060941
0.0035712	0.025395	0.052378	0.076979
0.0024849	0.017394	0.035065	0.052459
0.0010989	0.0034965	0.0091908	0.014585
0.001087	0.0041306	0.010544	0.016522
0.002189	0.0074426	0.017512	0.025174
0.001257	0.0040224	0.010056	0.015461
0.0021777	0.0070169	0.012202	0.014967
0.0032499	0.023471	0.049471	0.074387
0.0023968	0.010186	0.020672	0.03026
0.0020862	0.008113	0.018544	0.027584
0.0015948	0.0042528	0.009746	0.013822
0.001464	0.004392	0.010541	0.014494
0.0012496	0.0043168	0.011133	0.01704
0.0009061	0.0040426	0.010873	0.015892
0.0016595	0.0035331	0.0088595	0.013463
0.002709	0.018662	0.038528	0.056287
0.0027477	0.012823	0.026866	0.038773
0.0018936	0.010178	0.02083	0.030534
0.000763	0.0029757	0.0072485	0.0095375
0.0012	0.00384	0.00948	0.01464
0.0032481	0.014075	0.029955	0.044752
